id,WorkDatasetSize,WorkMethodsFrequency,Frequency
1999,100GB,RecommenderSystems,NA
2000,1TB,RecommenderSystems,NA
2001,10MB,RecommenderSystems,NA
2002,NA,RecommenderSystems,NA
2003,NA,RecommenderSystems,NA
2004,NA,RecommenderSystems,NA
2005,10GB,RecommenderSystems,NA
2006,10GB,RecommenderSystems,NA
2007,NA,RecommenderSystems,NA
2008,NA,RecommenderSystems,NA
2009,100TB,RecommenderSystems,NA
2010,NA,RecommenderSystems,NA
2011,1MB,RecommenderSystems,NA
2012,<1MB,RecommenderSystems,NA
2013,1GB,RecommenderSystems,NA
2014,<1MB,RecommenderSystems,NA
2015,100MB,RecommenderSystems,NA
2016,1TB,RecommenderSystems,NA
2017,<1MB,RecommenderSystems,NA
2018,1GB,RecommenderSystems,NA
2019,1GB,RecommenderSystems,NA
2020,10GB,RecommenderSystems,NA
2021,10GB,RecommenderSystems,NA
2022,NA,RecommenderSystems,NA
2023,10GB,RecommenderSystems,NA
2024,1GB,RecommenderSystems,NA
2025,NA,RecommenderSystems,NA
2026,100MB,RecommenderSystems,NA
2027,10MB,RecommenderSystems,Often
2028,100GB,RecommenderSystems,NA
2029,1GB,RecommenderSystems,NA
2030,1GB,RecommenderSystems,NA
2031,10GB,RecommenderSystems,NA
2032,NA,RecommenderSystems,NA
2033,100GB,RecommenderSystems,NA
2034,100MB,RecommenderSystems,Most of the time
2035,10MB,RecommenderSystems,NA
2036,10GB,RecommenderSystems,NA
2037,10MB,RecommenderSystems,NA
2038,1GB,RecommenderSystems,NA
2039,1GB,RecommenderSystems,NA
2040,NA,RecommenderSystems,NA
2041,1GB,RecommenderSystems,NA
2042,NA,RecommenderSystems,NA
2043,NA,RecommenderSystems,NA
2044,NA,RecommenderSystems,NA
2045,1EB,RecommenderSystems,NA
2046,1GB,RecommenderSystems,NA
2047,10GB,RecommenderSystems,NA
2048,100MB,RecommenderSystems,NA
2049,100GB,RecommenderSystems,NA
2050,10GB,RecommenderSystems,NA
2051,100GB,RecommenderSystems,NA
2052,100MB,RecommenderSystems,NA
2053,100TB,RecommenderSystems,NA
2054,100MB,RecommenderSystems,NA
2055,10MB,RecommenderSystems,NA
2056,1GB,RecommenderSystems,NA
2057,1GB,RecommenderSystems,NA
2058,NA,RecommenderSystems,NA
2059,100MB,RecommenderSystems,NA
2060,1GB,RecommenderSystems,NA
2061,10MB,RecommenderSystems,NA
2062,100MB,RecommenderSystems,NA
2063,10MB,RecommenderSystems,NA
2064,100MB,RecommenderSystems,Often
2065,NA,RecommenderSystems,NA
2066,NA,RecommenderSystems,NA
2067,NA,RecommenderSystems,NA
2068,10GB,RecommenderSystems,NA
2069,NA,RecommenderSystems,NA
2070,1GB,RecommenderSystems,NA
2071,100MB,RecommenderSystems,NA
2072,NA,RecommenderSystems,NA
2073,100MB,RecommenderSystems,NA
2074,1TB,RecommenderSystems,Most of the time
2075,1TB,RecommenderSystems,NA
2076,100MB,RecommenderSystems,NA
2077,NA,RecommenderSystems,NA
2078,100MB,RecommenderSystems,NA
2079,1MB,RecommenderSystems,NA
2080,NA,RecommenderSystems,NA
2081,100GB,RecommenderSystems,NA
2082,1GB,RecommenderSystems,NA
2083,1MB,RecommenderSystems,NA
2084,NA,RecommenderSystems,NA
2085,100GB,RecommenderSystems,NA
2086,1GB,RecommenderSystems,NA
2087,100MB,RecommenderSystems,NA
2088,1GB,RecommenderSystems,Sometimes
2089,NA,RecommenderSystems,NA
2090,10GB,RecommenderSystems,NA
2091,100MB,RecommenderSystems,Sometimes
2092,1TB,RecommenderSystems,NA
2093,<1MB,RecommenderSystems,NA
2094,NA,RecommenderSystems,NA
2095,10GB,RecommenderSystems,NA
2096,NA,RecommenderSystems,NA
2097,10GB,RecommenderSystems,NA
2098,100MB,RecommenderSystems,Sometimes
2099,NA,RecommenderSystems,NA
2100,100GB,RecommenderSystems,NA
2101,10TB,RecommenderSystems,NA
2102,100GB,RecommenderSystems,NA
2103,1GB,RecommenderSystems,NA
2104,NA,RecommenderSystems,NA
2105,NA,RecommenderSystems,NA
2106,NA,RecommenderSystems,NA
2107,NA,RecommenderSystems,NA
2108,10GB,RecommenderSystems,Often
2109,10MB,RecommenderSystems,NA
2110,1GB,RecommenderSystems,NA
2111,NA,RecommenderSystems,NA
2112,NA,RecommenderSystems,Often
2113,10GB,RecommenderSystems,Sometimes
2114,10MB,RecommenderSystems,NA
2115,10MB,RecommenderSystems,NA
2116,10GB,RecommenderSystems,Sometimes
2117,100MB,RecommenderSystems,NA
2118,1GB,RecommenderSystems,NA
2119,NA,RecommenderSystems,NA
2120,100GB,RecommenderSystems,NA
2121,NA,RecommenderSystems,NA
2122,1GB,RecommenderSystems,Sometimes
2123,1GB,RecommenderSystems,NA
2124,NA,RecommenderSystems,NA
2125,1GB,RecommenderSystems,NA
2126,1GB,RecommenderSystems,NA
2127,1GB,RecommenderSystems,Most of the time
2128,100MB,RecommenderSystems,NA
2129,NA,RecommenderSystems,NA
2130,100GB,RecommenderSystems,Often
2131,10GB,RecommenderSystems,NA
2132,10MB,RecommenderSystems,NA
2133,10GB,RecommenderSystems,NA
2134,10MB,RecommenderSystems,NA
2135,NA,RecommenderSystems,NA
2136,1GB,RecommenderSystems,NA
2137,NA,RecommenderSystems,NA
2138,1TB,RecommenderSystems,NA
2139,10MB,RecommenderSystems,NA
2140,10MB,RecommenderSystems,NA
2141,NA,RecommenderSystems,NA
2142,NA,RecommenderSystems,Most of the time
2143,100MB,RecommenderSystems,NA
2144,10MB,RecommenderSystems,NA
2145,10GB,RecommenderSystems,NA
2146,10MB,RecommenderSystems,NA
2147,10MB,RecommenderSystems,NA
2148,1TB,RecommenderSystems,NA
2149,NA,RecommenderSystems,NA
2150,1MB,RecommenderSystems,NA
2151,10GB,RecommenderSystems,NA
2152,1TB,RecommenderSystems,NA
2153,100MB,RecommenderSystems,NA
2154,100MB,RecommenderSystems,NA
2155,<1MB,RecommenderSystems,NA
2156,10MB,RecommenderSystems,NA
2157,100GB,RecommenderSystems,Sometimes
2158,100MB,RecommenderSystems,NA
2159,1GB,RecommenderSystems,Often
2160,100MB,RecommenderSystems,NA
2161,NA,RecommenderSystems,NA
2162,10MB,RecommenderSystems,NA
2163,1TB,RecommenderSystems,NA
2164,100GB,RecommenderSystems,NA
2165,<1MB,RecommenderSystems,NA
2166,10GB,RecommenderSystems,NA
2167,1TB,RecommenderSystems,NA
2168,NA,RecommenderSystems,NA
2169,10GB,RecommenderSystems,NA
2170,1GB,RecommenderSystems,NA
2171,1GB,RecommenderSystems,NA
2172,1GB,RecommenderSystems,NA
2173,10GB,RecommenderSystems,NA
2174,10GB,RecommenderSystems,Sometimes
2175,1GB,RecommenderSystems,Often
2176,NA,RecommenderSystems,NA
2177,1TB,RecommenderSystems,NA
2178,1GB,RecommenderSystems,NA
2179,100MB,RecommenderSystems,NA
2180,10GB,RecommenderSystems,NA
2181,1TB,RecommenderSystems,NA
2182,1GB,RecommenderSystems,NA
2183,1GB,RecommenderSystems,NA
2184,10MB,RecommenderSystems,NA
2185,NA,RecommenderSystems,NA
2186,1GB,RecommenderSystems,NA
2187,100GB,RecommenderSystems,NA
2188,NA,RecommenderSystems,NA
2189,10GB,RecommenderSystems,Sometimes
2190,NA,RecommenderSystems,NA
2191,100MB,RecommenderSystems,NA
2192,10MB,RecommenderSystems,NA
2193,1GB,RecommenderSystems,NA
2194,10GB,RecommenderSystems,NA
2195,NA,RecommenderSystems,NA
2196,1GB,RecommenderSystems,NA
2197,10GB,RecommenderSystems,Sometimes
2198,10GB,RecommenderSystems,NA
2199,NA,RecommenderSystems,NA
2200,1GB,RecommenderSystems,NA
2201,100MB,RecommenderSystems,Sometimes
2202,100MB,RecommenderSystems,NA
2203,1TB,RecommenderSystems,NA
2204,<1MB,RecommenderSystems,NA
2205,1TB,RecommenderSystems,Often
2206,NA,RecommenderSystems,NA
2207,NA,RecommenderSystems,NA
2208,10MB,RecommenderSystems,NA
2209,NA,RecommenderSystems,NA
2210,NA,RecommenderSystems,NA
2211,10MB,RecommenderSystems,NA
2212,NA,RecommenderSystems,NA
2213,1TB,RecommenderSystems,NA
2214,10GB,RecommenderSystems,NA
2215,1GB,RecommenderSystems,NA
2216,100MB,RecommenderSystems,Sometimes
2217,NA,RecommenderSystems,NA
2218,100GB,RecommenderSystems,NA
2219,10MB,RecommenderSystems,NA
2220,100MB,RecommenderSystems,NA
2221,10GB,RecommenderSystems,NA
2222,10GB,RecommenderSystems,NA
2223,1GB,RecommenderSystems,NA
2224,100MB,RecommenderSystems,NA
2225,NA,RecommenderSystems,Most of the time
2226,1GB,RecommenderSystems,NA
2227,NA,RecommenderSystems,NA
2228,10GB,RecommenderSystems,Often
2229,100GB,RecommenderSystems,NA
2230,10GB,RecommenderSystems,NA
2231,100MB,RecommenderSystems,NA
2232,100MB,RecommenderSystems,NA
2233,NA,RecommenderSystems,NA
2234,10GB,RecommenderSystems,NA
2235,10GB,RecommenderSystems,Often
2236,1GB,RecommenderSystems,NA
2237,100GB,RecommenderSystems,Often
2238,100GB,RecommenderSystems,NA
2239,100MB,RecommenderSystems,NA
2240,10MB,RecommenderSystems,NA
2241,1GB,RecommenderSystems,NA
2242,NA,RecommenderSystems,NA
2243,100GB,RecommenderSystems,NA
2244,100MB,RecommenderSystems,NA
2245,1GB,RecommenderSystems,NA
2246,1GB,RecommenderSystems,NA
2247,NA,RecommenderSystems,NA
2248,10MB,RecommenderSystems,NA
2249,1GB,RecommenderSystems,NA
2250,NA,RecommenderSystems,NA
2251,1GB,RecommenderSystems,NA
2252,NA,RecommenderSystems,NA
2253,NA,RecommenderSystems,NA
2254,10GB,RecommenderSystems,NA
2255,10GB,RecommenderSystems,Often
2256,100MB,RecommenderSystems,NA
2257,10MB,RecommenderSystems,NA
2258,1TB,RecommenderSystems,NA
2259,NA,RecommenderSystems,NA
2260,10MB,RecommenderSystems,NA
2261,100MB,RecommenderSystems,NA
2262,10GB,RecommenderSystems,NA
2263,10MB,RecommenderSystems,NA
2264,NA,RecommenderSystems,NA
2265,NA,RecommenderSystems,NA
2266,100TB,RecommenderSystems,NA
2267,1TB,RecommenderSystems,NA
2268,100MB,RecommenderSystems,NA
2269,10MB,RecommenderSystems,NA
2270,NA,RecommenderSystems,NA
2271,1MB,RecommenderSystems,NA
2272,10GB,RecommenderSystems,NA
2273,1GB,RecommenderSystems,NA
2274,10GB,RecommenderSystems,NA
2275,NA,RecommenderSystems,NA
2276,100GB,RecommenderSystems,NA
2277,1GB,RecommenderSystems,Often
2278,1GB,RecommenderSystems,Often
2279,10GB,RecommenderSystems,NA
2280,100GB,RecommenderSystems,NA
2281,10GB,RecommenderSystems,NA
2282,1GB,RecommenderSystems,Most of the time
2283,NA,RecommenderSystems,NA
2284,NA,RecommenderSystems,NA
2285,NA,RecommenderSystems,NA
2286,100MB,RecommenderSystems,NA
2287,100GB,RecommenderSystems,NA
2288,10MB,RecommenderSystems,NA
2289,100MB,RecommenderSystems,NA
2290,<1MB,RecommenderSystems,NA
2291,1GB,RecommenderSystems,NA
2292,1GB,RecommenderSystems,NA
2293,10MB,RecommenderSystems,NA
2294,NA,RecommenderSystems,NA
2295,10GB,RecommenderSystems,NA
2296,NA,RecommenderSystems,NA
2297,100GB,RecommenderSystems,Sometimes
2298,10MB,RecommenderSystems,NA
2299,100GB,RecommenderSystems,NA
2300,100MB,RecommenderSystems,NA
2301,NA,RecommenderSystems,NA
2302,100MB,RecommenderSystems,NA
2303,1GB,RecommenderSystems,NA
2304,10MB,RecommenderSystems,NA
2305,100MB,RecommenderSystems,NA
2306,NA,RecommenderSystems,NA
2307,NA,RecommenderSystems,NA
2308,10GB,RecommenderSystems,Most of the time
2309,NA,RecommenderSystems,NA
2310,10MB,RecommenderSystems,NA
2311,10GB,RecommenderSystems,NA
2312,NA,RecommenderSystems,NA
2313,NA,RecommenderSystems,NA
2314,NA,RecommenderSystems,NA
2315,1GB,RecommenderSystems,NA
2316,1MB,RecommenderSystems,NA
2317,NA,RecommenderSystems,NA
2318,100MB,RecommenderSystems,NA
2319,NA,RecommenderSystems,NA
2320,NA,RecommenderSystems,NA
2321,100GB,RecommenderSystems,NA
2322,1GB,RecommenderSystems,NA
2323,100GB,RecommenderSystems,NA
2324,NA,RecommenderSystems,NA
2325,10GB,RecommenderSystems,NA
2326,100GB,RecommenderSystems,NA
2327,1GB,RecommenderSystems,NA
2328,NA,RecommenderSystems,NA
2329,10GB,RecommenderSystems,NA
2330,10GB,RecommenderSystems,NA
2331,1GB,RecommenderSystems,NA
2332,1GB,RecommenderSystems,NA
2333,1TB,RecommenderSystems,NA
2334,100MB,RecommenderSystems,Often
2335,1GB,RecommenderSystems,NA
2336,100MB,RecommenderSystems,NA
2337,100MB,RecommenderSystems,Most of the time
2338,NA,RecommenderSystems,NA
2339,10MB,RecommenderSystems,Often
2340,10GB,RecommenderSystems,NA
2341,100GB,RecommenderSystems,NA
2342,NA,RecommenderSystems,NA
2343,10MB,RecommenderSystems,NA
2344,100MB,RecommenderSystems,NA
2345,10GB,RecommenderSystems,NA
2346,1MB,RecommenderSystems,NA
2347,NA,RecommenderSystems,NA
2348,1GB,RecommenderSystems,NA
2349,NA,RecommenderSystems,NA
2350,10MB,RecommenderSystems,NA
2351,100MB,RecommenderSystems,NA
2352,NA,RecommenderSystems,NA
2353,100GB,RecommenderSystems,NA
2354,10GB,RecommenderSystems,NA
2355,1GB,RecommenderSystems,NA
2356,10TB,RecommenderSystems,Sometimes
2357,100GB,RecommenderSystems,NA
2358,1GB,RecommenderSystems,NA
2359,1GB,RecommenderSystems,NA
2360,10MB,RecommenderSystems,NA
2361,1TB,RecommenderSystems,Most of the time
2362,NA,RecommenderSystems,NA
2363,1GB,RecommenderSystems,NA
2364,10MB,RecommenderSystems,NA
2365,1GB,RecommenderSystems,NA
2366,NA,RecommenderSystems,NA
2367,NA,RecommenderSystems,NA
2368,100MB,RecommenderSystems,NA
2369,1GB,RecommenderSystems,NA
2370,NA,RecommenderSystems,NA
2371,NA,RecommenderSystems,Sometimes
2372,10MB,RecommenderSystems,NA
2373,1TB,RecommenderSystems,NA
2374,NA,RecommenderSystems,NA
2375,1GB,RecommenderSystems,Most of the time
2376,1GB,RecommenderSystems,NA
2377,1GB,RecommenderSystems,NA
2378,1GB,RecommenderSystems,NA
2379,10GB,RecommenderSystems,NA
2380,100GB,RecommenderSystems,NA
2381,1GB,RecommenderSystems,NA
2382,100MB,RecommenderSystems,NA
2383,10PB,RecommenderSystems,NA
2384,100GB,RecommenderSystems,Rarely
2385,1TB,RecommenderSystems,NA
2386,1TB,RecommenderSystems,NA
2387,1GB,RecommenderSystems,NA
2388,NA,RecommenderSystems,NA
2389,100MB,RecommenderSystems,NA
2390,100MB,RecommenderSystems,NA
2391,1GB,RecommenderSystems,NA
2392,NA,RecommenderSystems,NA
2393,1TB,RecommenderSystems,Often
2394,10GB,RecommenderSystems,NA
2395,10GB,RecommenderSystems,Rarely
2396,100MB,RecommenderSystems,NA
2397,10TB,RecommenderSystems,Most of the time
2398,1TB,RecommenderSystems,NA
2399,10GB,RecommenderSystems,NA
2400,NA,RecommenderSystems,NA
2401,1GB,RecommenderSystems,NA
2402,NA,RecommenderSystems,NA
2403,100GB,RecommenderSystems,Most of the time
2404,10GB,RecommenderSystems,NA
2405,100MB,RecommenderSystems,NA
2406,100MB,RecommenderSystems,NA
2407,100MB,RecommenderSystems,NA
2408,NA,RecommenderSystems,NA
2409,100MB,RecommenderSystems,NA
2410,100GB,RecommenderSystems,Often
2411,10GB,RecommenderSystems,NA
2412,10GB,RecommenderSystems,Often
2413,1GB,RecommenderSystems,NA
2414,100GB,RecommenderSystems,NA
2415,1TB,RecommenderSystems,Often
2416,100MB,RecommenderSystems,NA
2417,100GB,RecommenderSystems,NA
2418,1GB,RecommenderSystems,Most of the time
2419,1GB,RecommenderSystems,Most of the time
2420,NA,RecommenderSystems,NA
2421,NA,RecommenderSystems,NA
2422,1GB,RecommenderSystems,NA
2423,100GB,RecommenderSystems,NA
2424,100GB,RecommenderSystems,NA
2425,10GB,RecommenderSystems,Sometimes
2426,<1MB,RecommenderSystems,NA
2427,NA,RecommenderSystems,NA
2428,NA,RecommenderSystems,NA
2429,10MB,RecommenderSystems,NA
2430,NA,RecommenderSystems,NA
2431,NA,RecommenderSystems,NA
2432,1GB,RecommenderSystems,NA
2433,NA,RecommenderSystems,NA
2434,10MB,RecommenderSystems,NA
2435,NA,RecommenderSystems,NA
2436,NA,RecommenderSystems,NA
2437,100PB,RecommenderSystems,Most of the time
2438,NA,RecommenderSystems,NA
2439,10GB,RecommenderSystems,Rarely
2440,100GB,RecommenderSystems,NA
2441,NA,RecommenderSystems,NA
2442,NA,RecommenderSystems,NA
2443,NA,RecommenderSystems,NA
2444,10GB,RecommenderSystems,NA
2445,NA,RecommenderSystems,Most of the time
2446,10TB,RecommenderSystems,NA
2447,100GB,RecommenderSystems,NA
2448,10PB,RecommenderSystems,Most of the time
2449,100MB,RecommenderSystems,NA
2450,100GB,RecommenderSystems,NA
2451,NA,RecommenderSystems,NA
2452,NA,RecommenderSystems,NA
2453,NA,RecommenderSystems,NA
2454,10GB,RecommenderSystems,NA
2455,NA,RecommenderSystems,NA
2456,100MB,RecommenderSystems,NA
2457,100GB,RecommenderSystems,NA
2458,10GB,RecommenderSystems,NA
2459,1GB,RecommenderSystems,NA
2460,10GB,RecommenderSystems,NA
2461,1TB,RecommenderSystems,NA
2462,10MB,RecommenderSystems,NA
2463,1GB,RecommenderSystems,NA
2464,100MB,RecommenderSystems,NA
2465,1GB,RecommenderSystems,Sometimes
2466,100MB,RecommenderSystems,Most of the time
2467,NA,RecommenderSystems,NA
2468,1GB,RecommenderSystems,NA
2469,NA,RecommenderSystems,NA
2470,10GB,RecommenderSystems,NA
2471,10MB,RecommenderSystems,NA
2472,NA,RecommenderSystems,NA
2473,100MB,RecommenderSystems,NA
2474,1GB,RecommenderSystems,NA
2475,10GB,RecommenderSystems,NA
2476,1GB,RecommenderSystems,NA
2477,10MB,RecommenderSystems,NA
2478,1GB,RecommenderSystems,NA
2479,100GB,RecommenderSystems,NA
2480,NA,RecommenderSystems,NA
2481,1GB,RecommenderSystems,NA
2482,1GB,RecommenderSystems,Sometimes
2483,10GB,RecommenderSystems,NA
2484,10GB,RecommenderSystems,NA
2485,NA,RecommenderSystems,NA
2486,10GB,RecommenderSystems,NA
2487,NA,RecommenderSystems,NA
2488,NA,RecommenderSystems,NA
2489,10GB,RecommenderSystems,NA
2490,NA,RecommenderSystems,NA
2491,NA,RecommenderSystems,NA
2492,1GB,RecommenderSystems,NA
2493,NA,RecommenderSystems,NA
2494,NA,RecommenderSystems,NA
2495,1TB,RecommenderSystems,NA
2496,NA,RecommenderSystems,NA
2497,NA,RecommenderSystems,NA
2498,10MB,RecommenderSystems,NA
2499,1MB,RecommenderSystems,NA
2500,100GB,RecommenderSystems,NA
2501,NA,RecommenderSystems,NA
2502,NA,RecommenderSystems,NA
2503,NA,RecommenderSystems,NA
2504,NA,RecommenderSystems,NA
2505,NA,RecommenderSystems,NA
2506,NA,RecommenderSystems,NA
2507,1GB,RecommenderSystems,NA
2508,NA,RecommenderSystems,NA
2509,1MB,RecommenderSystems,NA
2510,10MB,RecommenderSystems,NA
2511,NA,RecommenderSystems,NA
2512,1GB,RecommenderSystems,NA
2513,10GB,RecommenderSystems,NA
2514,NA,RecommenderSystems,NA
2515,10GB,RecommenderSystems,NA
2516,NA,RecommenderSystems,NA
2517,NA,RecommenderSystems,NA
2518,NA,RecommenderSystems,NA
2519,NA,RecommenderSystems,NA
2520,10GB,RecommenderSystems,NA
2521,NA,RecommenderSystems,NA
2522,100MB,RecommenderSystems,NA
2523,10GB,RecommenderSystems,NA
2524,NA,RecommenderSystems,NA
2525,NA,RecommenderSystems,NA
2526,1GB,RecommenderSystems,NA
2527,NA,RecommenderSystems,NA
2528,1TB,RecommenderSystems,NA
2529,10MB,RecommenderSystems,NA
2530,1TB,RecommenderSystems,NA
2531,NA,RecommenderSystems,NA
2532,NA,RecommenderSystems,NA
2533,<1MB,RecommenderSystems,NA
2534,NA,RecommenderSystems,NA
2535,NA,RecommenderSystems,NA
2536,NA,RecommenderSystems,NA
2537,1MB,RecommenderSystems,NA
2538,NA,RecommenderSystems,NA
2539,NA,RecommenderSystems,NA
2540,NA,RecommenderSystems,NA
2541,NA,RecommenderSystems,NA
2542,NA,RecommenderSystems,NA
2543,1PB,RecommenderSystems,NA
2544,NA,RecommenderSystems,NA
2545,NA,RecommenderSystems,NA
2546,100TB,RecommenderSystems,NA
2547,NA,RecommenderSystems,NA
2548,10GB,RecommenderSystems,NA
2549,10GB,RecommenderSystems,NA
2550,10MB,RecommenderSystems,NA
2551,10GB,RecommenderSystems,NA
2552,NA,RecommenderSystems,NA
2553,10GB,RecommenderSystems,NA
2554,NA,RecommenderSystems,NA
2555,NA,RecommenderSystems,NA
2556,10GB,RecommenderSystems,NA
2557,NA,RecommenderSystems,NA
2558,NA,RecommenderSystems,NA
2559,NA,RecommenderSystems,NA
2560,100GB,RecommenderSystems,NA
2561,NA,RecommenderSystems,NA
2562,NA,RecommenderSystems,NA
2563,1TB,RecommenderSystems,NA
2564,NA,RecommenderSystems,NA
2565,NA,RecommenderSystems,NA
2566,NA,RecommenderSystems,NA
2567,NA,RecommenderSystems,NA
2568,NA,RecommenderSystems,NA
2569,NA,RecommenderSystems,NA
2570,NA,RecommenderSystems,NA
2571,NA,RecommenderSystems,NA
2572,NA,RecommenderSystems,NA
2573,NA,RecommenderSystems,NA
2574,NA,RecommenderSystems,NA
2575,NA,RecommenderSystems,NA
2576,NA,RecommenderSystems,NA
2577,10GB,RecommenderSystems,NA
2578,100MB,RecommenderSystems,NA
2579,1GB,RecommenderSystems,Rarely
2580,NA,RecommenderSystems,NA
2581,NA,RecommenderSystems,NA
2582,10GB,RecommenderSystems,NA
2583,NA,RecommenderSystems,NA
2584,1TB,RecommenderSystems,NA
2585,NA,RecommenderSystems,NA
2586,NA,RecommenderSystems,NA
2587,NA,RecommenderSystems,NA
2588,NA,RecommenderSystems,NA
2589,1GB,RecommenderSystems,NA
2590,NA,RecommenderSystems,NA
2591,NA,RecommenderSystems,NA
2592,10GB,RecommenderSystems,NA
2593,10MB,RecommenderSystems,NA
2594,100GB,RecommenderSystems,NA
2595,NA,RecommenderSystems,Often
2596,NA,RecommenderSystems,NA
2597,NA,RecommenderSystems,NA
2598,NA,RecommenderSystems,NA
2599,10GB,RecommenderSystems,NA
2600,NA,RecommenderSystems,NA
2601,10GB,RecommenderSystems,NA
2602,100GB,RecommenderSystems,NA
2603,NA,RecommenderSystems,NA
2604,NA,RecommenderSystems,NA
2605,NA,RecommenderSystems,NA
2606,NA,RecommenderSystems,NA
2607,NA,RecommenderSystems,NA
2608,NA,RecommenderSystems,NA
2609,NA,RecommenderSystems,NA
2610,NA,RecommenderSystems,NA
2611,10TB,RecommenderSystems,NA
2612,NA,RecommenderSystems,NA
2613,1GB,RecommenderSystems,NA
2614,1GB,RecommenderSystems,NA
2615,NA,RecommenderSystems,NA
2616,1GB,RecommenderSystems,NA
2617,1GB,RecommenderSystems,NA
2618,NA,RecommenderSystems,NA
2619,100MB,RecommenderSystems,NA
2620,NA,RecommenderSystems,NA
2621,1GB,RecommenderSystems,NA
2622,NA,RecommenderSystems,NA
2623,10MB,RecommenderSystems,NA
2624,NA,RecommenderSystems,NA
2625,NA,RecommenderSystems,NA
2626,NA,RecommenderSystems,NA
2627,NA,RecommenderSystems,NA
2628,NA,RecommenderSystems,NA
2629,100GB,RecommenderSystems,NA
2630,NA,RecommenderSystems,NA
2631,100MB,RecommenderSystems,NA
2632,100TB,RecommenderSystems,Most of the time
2633,NA,RecommenderSystems,NA
2634,10MB,RecommenderSystems,NA
2635,10GB,RecommenderSystems,NA
2636,1GB,RecommenderSystems,NA
2637,NA,RecommenderSystems,NA
2638,NA,RecommenderSystems,NA
2639,NA,RecommenderSystems,NA
2640,1GB,RecommenderSystems,Most of the time
2641,NA,RecommenderSystems,NA
2642,NA,RecommenderSystems,NA
2643,NA,RecommenderSystems,NA
2644,100MB,RecommenderSystems,NA
2645,1MB,RecommenderSystems,NA
2646,NA,RecommenderSystems,NA
2647,NA,RecommenderSystems,NA
2648,100MB,RecommenderSystems,NA
2649,NA,RecommenderSystems,NA
2650,100MB,RecommenderSystems,NA
2651,10MB,RecommenderSystems,NA
2652,NA,RecommenderSystems,NA
2653,NA,RecommenderSystems,NA
2654,NA,RecommenderSystems,NA
2655,1GB,RecommenderSystems,NA
2656,100MB,RecommenderSystems,NA
2657,NA,RecommenderSystems,NA
2658,NA,RecommenderSystems,NA
2659,NA,RecommenderSystems,NA
2660,10GB,RecommenderSystems,NA
2661,10GB,RecommenderSystems,NA
2662,NA,RecommenderSystems,NA
2663,NA,RecommenderSystems,NA
2664,NA,RecommenderSystems,NA
2665,1MB,RecommenderSystems,NA
2666,1TB,RecommenderSystems,NA
2667,NA,RecommenderSystems,NA
2668,1GB,RecommenderSystems,NA
2669,100TB,RecommenderSystems,NA
2670,1GB,RecommenderSystems,NA
2671,NA,RecommenderSystems,NA
2672,NA,RecommenderSystems,NA
2673,10GB,RecommenderSystems,NA
2674,100MB,RecommenderSystems,NA
2675,NA,RecommenderSystems,NA
2676,NA,RecommenderSystems,NA
2677,100MB,RecommenderSystems,NA
2678,NA,RecommenderSystems,NA
2679,1GB,RecommenderSystems,NA
2680,10MB,RecommenderSystems,NA
2681,1GB,RecommenderSystems,NA
2682,NA,RecommenderSystems,NA
2683,NA,RecommenderSystems,NA
2684,10GB,RecommenderSystems,NA
2685,100MB,RecommenderSystems,NA
2686,NA,RecommenderSystems,NA
2687,100MB,RecommenderSystems,NA
2688,100GB,RecommenderSystems,NA
2689,NA,RecommenderSystems,NA
2690,NA,RecommenderSystems,NA
2691,1GB,RecommenderSystems,NA
2692,>1EB,RecommenderSystems,NA
2693,100GB,RecommenderSystems,NA
2694,100MB,RecommenderSystems,NA
2695,100GB,RecommenderSystems,NA
2696,1GB,RecommenderSystems,NA
2697,NA,RecommenderSystems,NA
2698,1TB,RecommenderSystems,Most of the time
2699,100MB,RecommenderSystems,NA
2700,NA,RecommenderSystems,NA
2701,NA,RecommenderSystems,NA
2702,NA,RecommenderSystems,NA
2703,NA,RecommenderSystems,NA
2704,NA,RecommenderSystems,NA
2705,10TB,RecommenderSystems,NA
2706,NA,RecommenderSystems,NA
2707,NA,RecommenderSystems,NA
2708,NA,RecommenderSystems,NA
2709,100MB,RecommenderSystems,NA
2710,100MB,RecommenderSystems,NA
2711,<1MB,RecommenderSystems,NA
2712,NA,RecommenderSystems,NA
2713,100TB,RecommenderSystems,NA
2714,NA,RecommenderSystems,NA
2715,NA,RecommenderSystems,NA
2716,10GB,RecommenderSystems,NA
2717,100MB,RecommenderSystems,NA
2718,NA,RecommenderSystems,NA
2719,1GB,RecommenderSystems,NA
2720,1MB,RecommenderSystems,NA
2721,1PB,RecommenderSystems,NA
2722,NA,RecommenderSystems,NA
2723,NA,RecommenderSystems,NA
2724,100GB,RecommenderSystems,NA
2725,100TB,RecommenderSystems,NA
2726,100MB,RecommenderSystems,NA
2727,10TB,RecommenderSystems,NA
2728,NA,RecommenderSystems,NA
2729,NA,RecommenderSystems,NA
2730,1GB,RecommenderSystems,NA
2731,NA,RecommenderSystems,NA
2732,NA,RecommenderSystems,NA
2733,10GB,RecommenderSystems,Most of the time
2734,100GB,RecommenderSystems,NA
2735,1GB,RecommenderSystems,NA
2736,NA,RecommenderSystems,NA
2737,10MB,RecommenderSystems,NA
2738,100TB,RecommenderSystems,Rarely
2739,NA,RecommenderSystems,NA
